dataset,context_condition,unique_messages,unique_concepts,messages/concepts
"(3,4)",coarse,33,99,0.3333333333333333
"(3,4)",mixed,175,99,1.7676767676767677
"(3,4)",fine,133,99,1.3434343434343434
"(3,8)",coarse,41,582,0.070446735395189
"(3,8)",mixed,803,582,1.379725085910653
"(3,8)",fine,438,582,0.7525773195876289
"(3,16)",coarse,133,3929,0.033850852634258084
"(3,16)",mixed,4032,3929,1.0262153219648766
"(3,16)",fine,1308,3929,0.33290913718503434
"(4,4)",coarse,204,499,0.4088176352705411
"(4,4)",mixed,1312,499,2.629258517034068
"(4,4)",fine,1071,499,2.1462925851703405
"(4,8)",coarse,788,5248,0.15015243902439024
"(4,8)",mixed,12925,5248,2.462842987804878
"(4,8)",fine,6636,5248,1.264481707317073
"(5,4)",coarse,1443,2499,0.5774309723889556
"(5,4)",mixed,6325,2500,2.53
"(5,4)",fine,4337,2499,1.7354941976790716
