game_nr,object,fixed indices,context condition,message
173,[0. 3. 0.],[1. 0. 0.],0,"[2, 11, 5, 0]"
173,[0. 1. 1.],[1. 0. 0.],0,"[2, 11, 5, 0]"
173,[0. 0. 2.],[1. 0. 0.],0,"[2, 11, 5, 0]"
173,[0. 1. 0.],[1. 0. 0.],0,"[2, 11, 5, 0]"
173,[0. 3. 1.],[1. 0. 0.],0,"[2, 11, 5, 0]"
173,[0. 2. 3.],[1. 0. 0.],0,"[2, 11, 5, 0]"
173,[0. 1. 3.],[1. 0. 0.],0,"[2, 11, 5, 0]"
173,[0. 0. 0.],[1. 0. 0.],0,"[2, 11, 5, 0]"
173,[0. 3. 3.],[1. 0. 0.],0,"[2, 11, 5, 0]"
173,[0. 3. 2.],[1. 0. 0.],0,"[2, 11, 5, 0]"
360,[0. 0. 2.],[1. 0. 0.],0,"[2, 11, 5, 0]"
360,[0. 0. 1.],[1. 0. 0.],0,"[2, 11, 5, 0]"
360,[0. 3. 2.],[1. 0. 0.],0,"[2, 11, 5, 0]"
360,[0. 3. 1.],[1. 0. 0.],0,"[2, 11, 5, 0]"
360,[0. 3. 3.],[1. 0. 0.],0,"[2, 11, 5, 0]"
360,[0. 2. 1.],[1. 0. 0.],0,"[2, 11, 5, 0]"
360,[0. 2. 2.],[1. 0. 0.],0,"[2, 11, 5, 0]"
360,[0. 1. 0.],[1. 0. 0.],0,"[2, 11, 5, 0]"
360,[0. 2. 3.],[1. 0. 0.],0,"[2, 11, 5, 0]"
360,[0. 0. 0.],[1. 0. 0.],0,"[2, 11, 5, 0]"
762,[0. 3. 1.],[1. 0. 0.],0,"[11, 9, 5, 0]"
762,[0. 2. 2.],[1. 0. 0.],0,"[11, 9, 5, 0]"
762,[0. 2. 3.],[1. 0. 0.],0,"[11, 9, 5, 0]"
762,[0. 3. 2.],[1. 0. 0.],0,"[11, 9, 5, 0]"
762,[0. 1. 0.],[1. 0. 0.],0,"[11, 9, 5, 0]"
762,[0. 0. 0.],[1. 0. 0.],0,"[11, 9, 5, 0]"
762,[0. 1. 2.],[1. 0. 0.],0,"[11, 9, 5, 0]"
762,[0. 0. 3.],[1. 0. 0.],0,"[11, 9, 5, 0]"
762,[0. 0. 1.],[1. 0. 0.],0,"[11, 9, 5, 0]"
762,[0. 3. 3.],[1. 0. 0.],0,"[11, 9, 5, 0]"
885,[0. 0. 3.],[1. 0. 0.],0,"[11, 9, 5, 0]"
885,[0. 0. 1.],[1. 0. 0.],0,"[11, 9, 5, 0]"
885,[0. 3. 2.],[1. 0. 0.],0,"[11, 9, 5, 0]"
885,[0. 0. 2.],[1. 0. 0.],0,"[11, 9, 5, 0]"
885,[0. 1. 1.],[1. 0. 0.],0,"[11, 9, 5, 0]"
885,[0. 1. 0.],[1. 0. 0.],0,"[11, 9, 5, 0]"
885,[0. 3. 0.],[1. 0. 0.],0,"[11, 9, 5, 0]"
885,[0. 0. 0.],[1. 0. 0.],0,"[11, 9, 5, 0]"
885,[0. 1. 3.],[1. 0. 0.],0,"[11, 9, 5, 0]"
885,[0. 2. 3.],[1. 0. 0.],0,"[11, 9, 5, 0]"
1126,[0. 3. 3.],[1. 0. 0.],0,"[2, 11, 5, 0]"
1126,[0. 1. 3.],[1. 0. 0.],0,"[2, 11, 5, 0]"
1126,[0. 2. 2.],[1. 0. 0.],0,"[2, 11, 5, 0]"
1126,[0. 0. 2.],[1. 0. 0.],0,"[2, 11, 5, 0]"
1126,[0. 3. 0.],[1. 0. 0.],0,"[2, 11, 5, 0]"
1126,[0. 3. 1.],[1. 0. 0.],0,"[2, 11, 5, 0]"
1126,[0. 0. 1.],[1. 0. 0.],0,"[2, 11, 5, 0]"
1126,[0. 1. 2.],[1. 0. 0.],0,"[2, 11, 5, 0]"
1126,[0. 0. 3.],[1. 0. 0.],0,"[2, 11, 5, 0]"
1126,[0. 2. 3.],[1. 0. 0.],0,"[2, 11, 5, 0]"
1156,[0. 0. 3.],[1. 0. 0.],0,"[2, 11, 5, 0]"
1156,[0. 1. 3.],[1. 0. 0.],0,"[2, 11, 5, 0]"
1156,[0. 0. 1.],[1. 0. 0.],0,"[2, 11, 5, 0]"
1156,[0. 2. 2.],[1. 0. 0.],0,"[2, 11, 5, 0]"
1156,[0. 3. 3.],[1. 0. 0.],0,"[2, 11, 5, 0]"
1156,[0. 2. 0.],[1. 0. 0.],0,"[2, 11, 5, 0]"
1156,[0. 3. 0.],[1. 0. 0.],0,"[2, 11, 5, 0]"
1156,[0. 0. 2.],[1. 0. 0.],0,"[2, 11, 5, 0]"
1156,[0. 0. 0.],[1. 0. 0.],0,"[2, 11, 5, 0]"
1156,[0. 3. 1.],[1. 0. 0.],0,"[2, 11, 5, 0]"
