game_nr,message,targets,fixed indices,context condition,distractors,accuracy
19,"[2, 2, 2, 2]",[0. 1. 1.],[1. 1. 1.],2,[1. 1. 1.],0.9170341491699219
683,"[2, 2, 2, 2]",[3. 1. 1.],[0. 1. 1.],0,[0. 2. 2.],0.9662094712257385
116,"[2, 2, 2, 2]",[0. 3. 1.],[1. 0. 1.],0,[3. 1. 2.],0.9821207523345947
649,"[2, 2, 2, 2]",[0. 1. 1.],[1. 1. 1.],1,[3. 0. 1.],0.9142956733703613
506,"[2, 2, 2, 2]",[0. 1. 1.],[1. 1. 1.],1,[0. 2. 0.],0.9756850004196167
356,"[2, 2, 2, 2]",[0. 0. 1.],[1. 0. 1.],1,[1. 2. 1.],0.98630291223526
361,"[2, 2, 2, 2]",[0. 1. 1.],[0. 1. 1.],0,[0. 3. 2.],0.9859627485275269
388,"[2, 2, 2, 2]",[0. 2. 1.],[1. 0. 1.],0,[2. 2. 3.],0.9951839447021484
400,"[2, 2, 2, 2]",[0. 0. 1.],[1. 0. 1.],0,[1. 1. 0.],0.9447378516197205
407,"[2, 2, 2, 2]",[0. 1. 1.],[1. 1. 1.],0,[3. 3. 0.],0.9454855918884277
416,"[2, 2, 2, 2]",[0. 1. 1.],[1. 1. 1.],0,[1. 2. 2.],0.9674076437950134
678,"[2, 2, 3]",[1. 1. 1.],[1. 0. 1.],0,[3. 3. 2.],0.9618350267410278
532,"[2, 2, 3]",[1. 3. 1.],[1. 0. 1.],1,[1. 2. 2.],0.9657068848609924
472,"[2, 2, 3]",[1. 0. 1.],[1. 0. 1.],0,[3. 1. 0.],0.9911137223243713
443,"[2, 2, 3]",[1. 3. 1.],[1. 0. 1.],1,[1. 2. 0.],0.9685096144676208
286,"[2, 2, 3]",[1. 1. 1.],[1. 1. 1.],2,[1. 1. 2.],0.9427518248558044
253,"[2, 2, 3]",[1. 1. 1.],[1. 1. 1.],2,[1. 1. 0.],0.9773381352424622
247,"[2, 2, 3]",[1. 0. 1.],[1. 0. 1.],0,[3. 1. 3.],0.9806870818138123
428,"[2, 2, 3]",[1. 1. 1.],[1. 0. 1.],0,[3. 0. 3.],0.9582687616348267
730,"[2, 2, 3]",[1. 1. 1.],[1. 1. 1.],1,[0. 3. 1.],0.9370160698890686
55,"[2, 2, 3, 4, 2]",[3. 2. 1.],[1. 1. 1.],1,[3. 1. 3.],0.9970955848693848
91,"[2, 3, 4, 2]",[3. 2. 1.],[1. 1. 1.],1,[1. 2. 3.],0.9998633861541748
715,"[2, 4, 2]",[3. 0. 1.],[1. 0. 1.],1,[3. 2. 0.],0.9881736636161804
477,"[2, 4, 2]",[3. 3. 1.],[1. 0. 1.],1,[1. 1. 1.],0.993385374546051
547,"[2, 4, 2]",[3. 1. 1.],[1. 1. 1.],0,[2. 0. 3.],0.9998356103897095
556,"[2, 4, 2]",[3. 1. 1.],[1. 1. 1.],0,[0. 2. 2.],0.9997313618659973
563,"[2, 4, 2]",[0. 1. 1.],[0. 1. 1.],1,[3. 2. 1.],0.9148158431053162
606,"[2, 4, 2]",[3. 1. 1.],[1. 1. 1.],2,[3. 1. 2.],0.9306808710098267
614,"[2, 4, 2]",[3. 1. 1.],[1. 1. 1.],1,[0. 0. 1.],0.9965099692344666
230,"[2, 4, 2]",[3. 1. 1.],[1. 1. 1.],0,[1. 2. 2.],0.950166642665863
686,"[2, 4, 2]",[3. 1. 1.],[1. 1. 1.],2,[2. 1. 1.],0.9610351920127869
